PA14_ID	GeneName	Essentiality	KEGG_ID	COG_ID	FUNCTION
PA14_02360	atsR	Nonessential	K15553	COG0715	Inorganic ion transport and metabolism
PA14_02370		Nonessential			
PA14_02380		Nonessential		COG0671	Lipid metabolism
PA14_02390		Nonessential		COG0583	Transcription
PA14_02410		Nonessential		COG1629	Inorganic ion transport and metabolism
PA14_02420	atsK	Nonessential	K03119	COG2175	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_02435		Nonessential		COG2175	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_02450		Nonessential		COG3288	Energy production and conversion
PA14_02460		Nonessential		COG3288	Energy production and conversion
PA14_02470	pntB	Nonessential	K00325	COG1282	Energy production and conversion
PA14_02490	tonB2	Nonessential	K03832	COG0810	"Cell envelope biogenesis, outer membrane"
PA14_02500	exbB1	Nonessential	K03561	COG0811	Intracellular trafficking and secretion
PA14_02510	exbD1	Nonessential	K03560	COG0848	Intracellular trafficking and secretion
PA14_02520		Nonessential			
PA14_02530		Nonessential		COG3545	General function prediction only
PA14_02550	mdcA	Nonessential	K13929	COG4670	Lipid metabolism
PA14_02560	mdcB	Nonessential	K13930	COG1767	Coenzyme metabolism
PA14_02570	mdcC	Nonessential	K13931		
PA14_02580	mdcD	Nonessential	K13932	COG0777	Lipid metabolism
PA14_02590	mdcE	Nonessential	K13933		
PA14_02610	mdcG	Nonessential	K13934		
PA14_02620	mdcH	Nonessential	K13935	COG0331	Lipid metabolism
PA14_02630	mdcL	Nonessential			
PA14_02640	mcdM	Nonessential			
PA14_02650		Nonessential		COG0583	Transcription
PA14_02660		Nonessential		COG0583	Transcription
PA14_02680	aldH	Nonessential	K09472	COG1012	Energy production and conversion
PA14_02690		Nonessential		COG0531	Amino acid transport and metabolism
PA14_02700		Nonessential		COG0161	Coenzyme metabolism
PA14_02720		Nonessential		COG0687	Amino acid transport and metabolism
PA14_02730		Nonessential		COG0329	"Amino acid transport and metabolism / Cell envelope biogenesis, outer membrane"
PA14_02740		Nonessential		COG0235	Carbohydrate transport and metabolism
PA14_02750		Nonessential		COG1917	Function unknown
PA14_02760	catI	Nonessential	K01039	COG1788	Lipid metabolism
PA14_02770	pcaJ	Nonessential	K01040	COG2057	Lipid metabolism
PA14_02790	pcaF	Nonessential	K07823	COG0183	Lipid metabolism
PA14_02810	pcaT	Nonessential	K02625	COG2814	Carbohydrate transport and metabolism
PA14_02830	pcaB	Nonessential	K01857	COG0015	Nucleotide transport and metabolism
PA14_02840	pcaD	Nonessential	K01055	COG0596	General function prediction only
PA14_02850	pcaC	Nonessential	K01607	COG0599	Function unknown
PA14_02870		Nonessential		COG0583	Transcription
PA14_02890		Nonessential			
PA14_02900	pcaK	Nonessential	K08195		
PA14_02910		Nonessential		COG1414	Transcription
PA14_02930		Nonessential		COG0673	General function prediction only
PA14_02960		Nonessential		COG1082	Carbohydrate transport and metabolism
PA14_02970		Nonessential		COG0697	Carbohydrate transport and metabolism / Amino acid transport and metabolism / General function prediction only
PA14_02980		Nonessential			
PA14_02990		Nonessential		COG2271	Carbohydrate transport and metabolism
PA14_03000		Nonessential		COG3185	Amino acid transport and metabolism / General function prediction only
PA14_03010		Nonessential		COG1309	Transcription
PA14_03020	aroE	Nonessential	K00014	COG0169	Amino acid transport and metabolism
PA14_03030	aroQ2	Nonessential	K03786	COG0757	Amino acid transport and metabolism
PA14_03040		Nonessential		COG2814	Carbohydrate transport and metabolism
PA14_03050	pobA	Nonessential	K00481	COG0654	Coenzyme metabolism / Energy production and conversion
PA14_03070	pobR	Nonessential		COG2207	Transcription
PA14_03080		Nonessential		COG0456	General function prediction only
PA14_03090		Nonessential		COG2905	Signal transduction mechanisms
PA14_03100		Nonessential			
PA14_03110		Nonessential			
PA14_03120		Nonessential		COG1846	Transcription
PA14_03130		Nonessential		COG0043	Coenzyme metabolism
PA14_03150		Nonessential		COG3619	Function unknown
PA14_03160		Nonessential			
PA14_03163		Nonessential		COG3600	Function unknown
PA14_03166		Nonessential			
PA14_03170		Nonessential		COG2801	"DNA replication, recombination, and repair"
PA14_03180		Nonessential			
PA14_03190		Nonessential			
PA14_03200		Nonessential			
PA14_03210		Essential			
PA14_03220		Nonessential		COG3501	Function unknown
PA14_03240	hcpC	Nonessential	K11903	COG3157	"Intracellular trafficking, secretion,    and vesicular transport"
PA14_03250		Nonessential			
PA14_03265		Nonessential			
PA14_03270		Nonessential		COG4913	Function unknown
PA14_03285		Nonessential		COG4924	Function unknown
PA14_03290		Nonessential		COG2963	"DNA replication, recombination, and repair"
PA14_03300		Nonessential		COG2801	"DNA replication, recombination, and repair"
PA14_03310		Nonessential		COG0859	"Cell envelope biogenesis, outer membrane"
PA14_03320		Nonessential			
PA14_03330		Nonessential		COG1387	Amino acid transport and metabolism / General function prediction only
PA14_03340		Nonessential			
PA14_03350		Nonessential			
PA14_03360		Nonessential		COG4735	Function unknown
PA14_03370		Nonessential		COG4735	Function unknown
PA14_03380		Nonessential			
PA14_03390		Nonessential			
PA14_03400		Nonessential			
PA14_03420		Nonessential			
PA14_03430	gabD	Nonessential	K00135	COG1012	Energy production and conversion
PA14_03450	gabT	Nonessential	K14268	COG0160	Amino acid transport and metabolism
PA14_03470		Nonessential		COG1639	Signal transduction mechanisms
PA14_03480		Nonessential		COG1167	Transcription / Amino acid transport and metabolism
PA14_03490		Nonessential		COG2128	Function unknown
PA14_03510		Nonessential		COG1917	Function unknown
PA14_03520		Nonessential		COG1359	Function unknown
PA14_03530		Nonessential		COG0583	Transcription
PA14_03550	cynX	Nonessential	K03449	COG2807	Inorganic ion transport and metabolism
PA14_03560		Nonessential			
PA14_03580		Nonessential		COG0664	Signal transduction mechanisms
PA14_03590		Nonessential		COG4539	Function unknown
PA14_03610	ycaL	Nonessential	K07387	COG0501	"Posttranslational modification, protein turnover, chaperones"
PA14_03620		Nonessential			
PA14_03630		Nonessential		COG0640	Transcription
PA14_03650	cysA	Nonessential	K02045	COG1118	Inorganic ion transport and metabolism
PA14_03670	cysW	Nonessential	K02047	COG4208	Inorganic ion transport and metabolism
PA14_03680	cysT	Nonessential	K02046	COG0555	"Posttranslational modification, protein turnover, chaperones"
PA14_03700	sbp	Nonessential	K02048	COG1613	Inorganic ion transport and metabolism
PA14_03710		Nonessential		COG5583	Function unknown
PA14_03720		Nonessential		COG5001	Signal transduction mechanisms
PA14_03730		Nonessential		COG1398	Lipid metabolism
PA14_03760		Nonessential		COG0591	Amino acid transport and metabolism / General function prediction only
PA14_03770	speB1	Nonessential	K01480	COG0010	Amino acid transport and metabolism
PA14_03780		Nonessential		COG0583	Transcription
PA14_03790		Nonessential		COG2199	Signal    transduction mechanisms
PA14_03800	oprE	Nonessential			
PA14_03810	aguA	Nonessential	K10536	COG2957	Amino acid transport and metabolism
PA14_03830	aguB	Nonessential	K12251	COG0388	General function prediction only
PA14_03840	aguR	Nonessential		COG1309	Transcription
PA14_03855		Nonessential		COG0687	Amino acid transport and metabolism
PA14_03860		Nonessential		COG0174	Amino acid transport and metabolism
PA14_03870	spuA	Nonessential	K07010	COG2071	General function prediction only
PA14_03880	spuB	Nonessential	K01915	COG0174	Amino acid transport and metabolism
PA14_03900	spuC	Nonessential	K12256	COG0161	Coenzyme metabolism
PA14_03920	spuD	Nonessential	K11073	COG0687	Amino acid transport and metabolism
PA14_03930	spuE	Nonessential	K11073	COG0687	Amino acid transport and metabolism
PA14_03940	spuF	Nonessential	K11076	COG3842	Amino acid transport and metabolism
PA14_03950	spuG	Nonessential	K11075	COG1176	Amino acid transport and metabolism
PA14_03960	spuH	Nonessential	K11074	COG1177	Amino acid transport and metabolism
PA14_03980		Nonessential		COG2366	General function prediction only
PA14_04000		Nonessential		COG2207	Transcription
PA14_04010		Nonessential			
PA14_04020		Nonessential			
PA14_04030		Nonessential		COG2267	Lipid metabolism
PA14_04040		Nonessential			
PA14_04050		Nonessential		COG3751	"Posttranslational modification, protein turnover, chaperones"
PA14_04060		Nonessential			
PA14_04070		Nonessential		COG1683	Function unknown
PA14_04080	yecS	Nonessential	K10009	COG0765	Amino acid transport and metabolism
PA14_04090	fliY	Nonessential	K02424	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA14_04100		Nonessential			
PA14_04110	serA	Nonessential	K00058	COG0111	Amino acid transport and metabolism
PA14_04140		Nonessential		COG0277	Energy production and conversion
PA14_04150	ycgM	Nonessential		COG0179	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_04160		Nonessential		COG3204	Function unknown
PA14_04180		Nonessential		COG3111	Function unknown
PA14_04190	aphA	Nonessential		COG0123	"Chromatin structure and dynamics / Secondary metabolites biosynthesis, transport, and catabolism"
PA14_04210		Nonessential		COG0531	Amino acid transport and metabolism
PA14_04220		Nonessential		COG0687	Amino acid transport and metabolism
PA14_04230		Nonessential		COG1177	Amino acid transport and metabolism
PA14_04240		Nonessential		COG1176	Amino acid transport and metabolism
PA14_04250		Nonessential		COG3842	Amino acid transport and metabolism
PA14_04270		Nonessential		COG3204	Function unknown
PA14_04290		Nonessential		COG5571	Cell motility and secretion
PA14_04300		Nonessential		COG3422	Function unknown
PA14_04310	rpiA	Essential	K01807	COG0120	Carbohydrate transport and metabolism
PA14_04320	ilvA1	Nonessential	K01754	COG1171	Amino acid transport and metabolism
PA14_04330		Nonessential		COG5528	Function unknown
PA14_04340		Nonessential		COG0702	"Cell envelope biogenesis, outer membrane / Carbohydrate transport and metabolism"
PA14_04350		Nonessential		COG5528	Function unknown
PA14_04370		Nonessential			
PA14_04380		Nonessential		COG0560	Amino acid transport and metabolism
PA14_04390	ygdP	Nonessential	K08311	COG0494	"DNA replication, recombination, and repair / General function prediction only"
PA14_04410	ptsP	Nonessential	K08484	COG3605	Signal transduction mechanisms
PA14_04420		Nonessential		COG2199	Signal    transduction mechanisms
PA14_04430		Nonessential		COG3332	Function unknown
PA14_04440		Nonessential		COG0730	General function prediction only
PA14_04460	lgt	Essential	K13292	COG0682	"Cell envelope biogenesis, outer membrane"
PA14_04480	thyA	Essential	K00560	COG0207	Nucleotide transport and metabolism
PA14_04490		Nonessential			
PA14_04510		Nonessential			
PA14_04520		Nonessential			
PA14_04530		Nonessential			
PA14_04550	glpQ	Nonessential	K01126	COG0584	Energy production and conversion
PA14_04560		Nonessential			
PA14_04570		Nonessential			
PA14_04580	folA	Essential	K00287	COG0262	Coenzyme metabolism
PA14_04590		Nonessential		COG0622	General function prediction only
PA14_04610	yicE	Nonessential	K16345	COG2233	Nucleotide transport and metabolism
PA14_04630	ilvD	Nonessential	K01687	COG0129	Amino acid transport and metabolism / Carbohydrate transport and metabolism
PA14_04640		Nonessential		COG1092	General function prediction only
PA14_04650	pfpI	Nonessential	K05520	COG0693	General function prediction only
PA14_04660		Nonessential		COG1639	Signal transduction mechanisms
PA14_04670	mutM	Nonessential	K10563	COG0266	"DNA replication, recombination, and repair"
PA14_04680		Nonessential		COG0204	Lipid metabolism
PA14_04690		Nonessential			
PA14_04700		Nonessential		COG0790	General function prediction only
PA14_04710		Nonessential			
PA14_04730		Nonessential		COG0405	Amino acid transport and metabolism
PA14_04750	fdx1	Nonessential			
PA14_04760	coaD	Essential	K00954	COG0669	Coenzyme metabolism
PA14_04780		Nonessential		COG2303	Amino acid transport and metabolism
PA14_04790		Nonessential			
PA14_04810		Nonessential		COG1012	Energy production and conversion
PA14_04820		Nonessential		COG1309	Transcription
PA14_04830		Nonessential			
PA14_04840		Nonessential		COG0429	General function prediction only
PA14_04850		Nonessential			
PA14_04860	yhhF	Nonessential	K08316	COG0742	"DNA replication, recombination, and repair"
PA14_04870		Nonessential		COG0612	General function prediction only
PA14_04890		Nonessential		COG0612	General function prediction only
PA14_04900	ftsY	Essential	K03110	COG0552	Intracellular trafficking and secretion
PA14_04910	ftsE	Nonessential	K09812	COG2884	Cell division and chromosome partitioning
PA14_04920	ftsX	Nonessential	K09811	COG2177	Cell division and chromosome partitioning
PA14_04930	rpoH	Essential	K03089	COG0568	Transcription
PA14_04940		Nonessential			
PA14_04950	mtgA	Nonessential	K03814	COG0744	"Cell envelope biogenesis, outer membrane"
PA14_04960		Nonessential		COG2363	Function unknown
PA14_04970	thiS	Nonessential	K03154	COG2104	Coenzyme metabolism
PA14_04980	thiG	Nonessential	K03149	COG2022	Nucleotide transport and metabolism
PA14_05000	micA	Nonessential	K03439	COG0220	General function prediction only
PA14_05010		Nonessential			
PA14_05020		Nonessential			
PA14_05030		Nonessential			
PA14_05040		Nonessential		COG0635	Coenzyme metabolism
PA14_05050		Nonessential		COG0127	Nucleotide transport and metabolism
PA14_05060		Nonessential			
PA14_05070	metW	Nonessential		COG2226	Coenzyme metabolism
PA14_05080	metX	Nonessential	K00641	COG2021	Amino acid transport and metabolism
PA14_05110		Nonessential		COG0699	General function prediction only
PA14_05120		Nonessential		COG1872	Function unknown
PA14_05130		Nonessential		COG0762	Function unknown
PA14_05150	proC	Nonessential	K00286	COG0345	Amino acid transport and metabolism
PA14_05160		Nonessential		COG0325	General function prediction only
PA14_05180	pilT	Nonessential	K02669	COG2805	Cell motility and secretion / Intracellular trafficking and secretion
PA14_05190	pilU	Nonessential	K02670	COG5008	Cell motility and secretion / Intracellular trafficking and secretion
PA14_05200	czcD	Nonessential	K16264	COG1230	Inorganic ion transport and metabolism
PA14_05210		Nonessential		COG2314	Function unknown
PA14_05220		Nonessential		COG0031	Amino acid transport and metabolism
PA14_05230		Nonessential		COG0626	Amino acid transport and metabolism
PA14_05250	pyrC	Nonessential	K01465	COG0044	Nucleotide transport and metabolism
PA14_05260	pyrB	Nonessential	K00609	COG0540	Nucleotide transport and metabolism
PA14_05270	pyrR	Nonessential	K02825	COG2065	Nucleotide transport and metabolism
PA14_05280	yqgF	Essential	K07447	COG0816	"DNA replication, recombination, and repair"
PA14_05290	algH	Nonessential	K07735	COG1678	Transcription
PA14_05300		Nonessential		COG0810	"Cell envelope biogenesis, outer membrane"
PA14_05310	gshB	Nonessential	K01920	COG0189	"Coenzyme metabolism / Translation, ribosomal structure and biogenesis"
PA14_05320	pilG	Nonessential	K02657	COG0745	Signal transduction mechanisms / Transcription
PA14_05330	pilH	Nonessential	K02658	COG0745	Signal transduction mechanisms / Transcription
PA14_05340	pilI	Nonessential	K02659	COG0835	Cell motility and secretion / Signal transduction mechanisms
PA14_05360	pilJ	Nonessential	K02660	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA14_05380	pilK	Nonessential	K02661	COG1352	Cell motility and secretion / Signal transduction mechanisms
PA14_05390	chpA	Nonessential	K02487;K06596	COG0643	Cell motility and secretion / Signal transduction mechanisms
PA14_05400		Nonessential		COG2201	Cell motility and secretion / Signal transduction mechanisms
PA14_05410	chpC	Nonessential	K06598		
PA14_05420	chpD	Nonessential	K06599	COG2207	Transcription
PA14_05430	chpE	Nonessential	K06600	COG1280	Amino acid transport and metabolism
PA14_05440		Nonessential			
PA14_05450		Nonessential		COG1385	Function unknown
PA14_05460	bioA	Nonessential	K00833	COG0161	Coenzyme metabolism
PA14_05480		Nonessential		COG1231	Amino acid transport and metabolism
PA14_05500		Nonessential		COG3038	Energy production and conversion
PA14_05510	yceI	Nonessential		COG2353	Function unknown
PA14_05520	mexR	Nonessential	K18131	COG1846	Transcription
PA14_05530	mexA	Essential	K03585	COG0845	"Cell envelope biogenesis, outer membrane"
PA14_05540	mexB	Essential	K18138	COG0841	Defense mechanisms
PA14_05550	oprM	Essential	K18139	COG1538	"Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion"
PA14_05560	rhlE	Nonessential	K11927	COG0513	"DNA replication, recombination, and repair / Transcription / Translation, ribosomal structure and biogenesis"
PA14_05580		Nonessential			
PA14_05590	metF	Nonessential	K00297	COG0685	Amino acid transport and metabolism
PA14_05600		Nonessential		COG0317	Signal transduction mechanisms / Transcription
PA14_05620	sahH	Essential	K01251	COG0499	Coenzyme metabolism
