cpd24339	C18H24NO4	Cocaethylene
cpd24291	C20H13N3O2	deoxyviolacein
cpd03139	C19H30O2	5beta-Dihydrotestosterone
cpd29680	C29H53N2O8PRS	cis-octadec-11-enoyl-[acyl-carrier protein]
cpd10255	C20H12O	9-Hydroxybenzo[a]pyrene
cpd29695	C7H11N2O5	L-ala-L-asp
cpd21066	C17H23N3O16P2	UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose
cpd21067	C3H3N2O2R	D-5-Monosubstituted hydantoin
cpd21064	C6H8O4	2-Hydroxy-2-(hydroxymethyl)-2H-pyran-3(6H)-one
cpd21065	C6H8O4	1,5-Anhydro-4-deoxy-D-glycero-hex-3-en-2-ulose
cpd21062	C30H50O	Cucurbitadienol
cpd21063	C30H50O	(17Z)-Protosta-17(20),24-dien-3beta-ol
cpd21060	C20H34O	Phyllocladan-16alpha-ol
cpd21061	C10H16	beta-Phellandrene
cpd21068	C3H3N2O2R	L-5-Monosubstituted hydantoin
cpd21069	C6H8O4	1,5-Anhydro-4-deoxy-D-glycero-hex-1-en-3-ulose
cpd00153	C7H5O2	Benzoate
cpd00152	C5H16N4	Agmatine
cpd00151	C5H6N2O2	Thymine
cpd00150	CHN	HCN
cpd00157	C3H6O3	Glycerone
cpd00156	C5H11NO2	L-Valine
cpd00155	C30H52O26	Glycogen
cpd00154	C5H10O5	Xylose
cpd00159	C3H5O3	L-Lactate
cpd00158	C12H22O11	CELB
cpd01684	C25H45N13O13P	O-Phosphoviomycin
cpd01685	C6OCl5	PCP
cpd06654	C15H12O4	Liquiritigenin
cpd25964	C37H57N7O20	GlcNAc-1,6-anhMurNAc-L-Ala-gamma-D-Glu-DAP-D-Ala
cpd01680	C12H31N4O	N1-Acetylspermine
cpd01681	C10H18O7P2	Neryl diphosphate
cpd01682	C9H17NO4	O-Acetylcarnitine
cpd01683	C17H19O9	O-Feruloylquinate
cpd23337	C98H159N10O28P2	N-acetylmuramoyl-L-alanyl-D-isoglutaminyl-N-(beta-D-asparatyl)-L-lysyl-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine
cpd23338	C83H135N6O20P2	N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl- D-alanyl-diphosphoundecaprenol
cpd23339	C91H148N7O25P2	N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine
cpd04878	C10H11N2O5S	7-ACA
cpd00489	C8H7O3	4-Hydroxyphenylacetate
cpd00488	C20H33O5	PGF2a
cpd00481	C25H38N7O17P3S	Isobutyryl-CoA
cpd00480	C6H9O7	2-Dehydro-D-gluconate
cpd00483	C7H6NO3	3-Hydroxyanthranilate
cpd00482	C3H4O7P	2-Phospho-D-glycerate
cpd00485	C6H11O9P	D-Mannose1-phosphate
cpd00484	C7H6O2	p-Hydroxybenzaldehyde
cpd00486	C10H9NO	Indoleacetaldehyde
cpd00376	C33H34N4O6	Bilirubin
cpd00374	C8H12NO	Tyramine
cpd00373	C11H11O5	Sinapate
cpd00372	C3H4N2	Pyrazole
cpd00371	C3H6O	Propanal
cpd11256	C4H5N2O4	Malonuric acid
cpd11709	C3H5OR	Long-chain aldehyde
cpd11254	C11H12N2O4	N-Formyl-D-kynurenine
cpd11255	C6H10O3S	1,2-dihydroxy-3-keto-5-methylthiopentene
cpd11253	C5H8O	Prenal
cpd00379	C5H6O4	Glutarate
cpd11251	C14H12N2O8	6-(2-Amino-2-carboxyethyl)-7,8-dioxo-7,8-dihydroquinoline-2,4- dicarboxylate
cpd09169	C21H16O8	Auraviketone
cpd09168	C20H13O8	Nogalonic acid
cpd09165	C25H26O10	Aquayamycin
cpd09164	C43H58O18	Urdamycin F
cpd09167	C37H46O14	Urdamycin G
cpd09166	C43H56O17	Urdamycin A
cpd09161	C31H36O12	100-2
cpd09160	C25H23O9	104-2
cpd09163	C25H28O11	Urdamycinone F
cpd09162	C37H43O14	124-1
cpd17706	C21H41N5O12	Butirosin A
cpd17707	C21H41N5O12	Butirosin B
cpd17704	C12H23N3O7	6'-Dehydro-6'-oxoparomamine
cpd17702	C6H11NO4	2-Deoxy-3-keto-scyllo-inosamine
cpd17703	C14H27N3O8	2'-N-Acetylparomamine
cpd17701	C6H13NO4	2-Deoxy-scyllo-inosamine
cpd17708	C25H47N5O15	2'''-N-Acetyl-6'''-deamino-6'''-hydroxyneomycin C
cpd17709	C23H45N5O14	6'''-Deamino-6'''-hydroxyneomycin C
cpd26596	C186H358O17	trehalose-trans-keto-di-mycolate
cpd26595	C184H354O17	trehalose-cis-keto-di-mycolate
cpd26594	C184H358O17	trehalose-trans-methoxy-di-mycolate
cpd26593	C182H354O17	trehalose-cis-methoxy-di-mycolate
cpd23519	C13H15O9	2,5-dihydroxybenzoate 5-O-beta-D-glucoside
cpd26591	C73H128O11P	6-O-mycolyl-beta-D-mannopyranosyl-1-phosphoheptaprenol
cpd26590	C99H189O17P	6-O-trans-keto-mycolyl-trehalose-6-phosphate
cpd23516	C15H12O7	dibenzoylmethane
cpd23517	C21H22O12	C-glucosyl-2-hydroxyflavanone
cpd23510	C41H64N7O17P3S	(11Z,14Z,17Z)-icosa-11,14,17-trienoyl-CoA
cpd26599	C13H23N4O11P2	CDP-N-dimethylethanolamine
cpd26598	C15H25N5O8	tetrahydrobiopterin-glucoside
cpd22608	C7H10O3	methoxyfuraneol (enol form)
cpd22603	C9H13O3	2-butyl-4-hydroxy-5-methyl-3(2H)-furanone
cpd22602	C9H12O3	(2E)-2-butylidene-4-hydroxy-5-methyl-3(2H)-furanone
cpd22601	C8H10O3	(2E)-4-hydroxy-5-methyl-2-propylidene-3(2H)-furanone
cpd22600	C7H8O3	(2E)-2-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone
cpd22607	C7H10O3	methoxyfuraneol (keto form)
cpd22606	C6H8O3	furaneol (enol form)
cpd22605	C8H11O3	4-hydroxy-5-methyl-2-propyl-3(2H)-furanone
cpd01358	C8H7O3	(S)-Mandelate
cpd01359	C19H30O2	16-Oxosteroid
cpd01420	C40H56	beta-Carotene
cpd01353	C20H11N3O8	Xanthommatin
cpd01422	C5H10O5	beta-D-Xylose
cpd01423	C16H24N2O16P2	dTDP-galactose
cpd01356	C20H27NO11	(R)-Amygdalin
cpd01357	C8H7O3	(R)-Mandelate
cpd01426	C19H23NO4	(+)-Reticuline
cpd01427	C19H21NO4	(S)-Scoulerine
cpd25585	C6H6ClNO	1-chloro-4-hydroxylaminobenzene
cpd25584	C6H4ClNO	1-chloro-4-nitrosobenzene
cpd25586	C6H6ClNO	2-amino-5-chlorophenol
cpd25581	C7H9NO3	2-amino-5-methyl-muconate semialdehyde
cpd20823	C9H8NO3	3-Succinoylpyridine
cpd25583	C7H8NO4	2-amino-5-methyl-muconate
cpd24996	C24H28O2	bixin aldehyde
cpd25589	C6H6ClNO3	2-amino-5-chloromuconate semialdehyde
cpd07746	C17H23NO3	Littorine
cpd07744	C9H14NO3	Ecgonine
cpd20107	C37H62NO11	Mycinamicin IV
cpd08954	C16H19NO3	Norgalanthamine
cpd21423	C20H24N10O25P6	P1,P6-Bis(5'-adenosyl)hexaphosphate
cpd05313	C13H24NO9S3	Glucoberteroin
cpd24766	C48H76N7O21P3S	(24R)-hydroxy,(25R)-trihydroxycholestanoyl-CoA
cpd29073	C30H50O	beta-seco-amyrin
cpd29075	C22H34O4	2,4-dihydroxy-6-[(8Z)-pentadec-8-en-1-yl]benzoate
cpd29077	C48H83N3O15P2	CDP-1,2-dioctadecenoylglycerol
cpd21800	C3H6O	12-EPOXYPROPANE
cpd21802	C12H17O4	12-Hydroxyjasmonates
cpd29078	C46H81N3O15P2	CDP-1-18:1(9Z)-2-16:0-glycerol
cpd00970	C5H9O7PR	NMP
cpd00972	C10H12N4O12P2	XDP
cpd00977	C10H12N4O13P3	dITP
cpd00976	C10H12N4O10P2	dIDP
cpd00978	C9H12N2O11P2	dUDP
cpd16411	C20H21N2O2F	Citalopram N-oxide
cpd15708	C49H90O20	Triglucosyl-1,2 dimyristoylglycerol
cpd15709	C57H106O20	Triglucosyl-1,2 distearoylglycerol
cpd15704	C33H64O5	1,2-Diisopentadecanoyl-sn-glycerol
cpd15705	C33H64O5	1,2-Dianteisopentadecanoyl-sn-glycerol
cpd15706	C35H68O5	1,2-Diisohexadecanoyl-sn-glycerol
cpd15707	C53H98O20	Triglucosyl-1,2 dipalmitoylglycerol
cpd15700	C37H74NO8P	Diisohexadecanoylphosphatidylethanolamine
cpd15701	C37H72O5	1,2-Diisoheptadecanoyl-sn-glycerol
cpd15702	C37H72O5	1,2-Dianteisoheptadecanoyl-sn-glycerol
cpd15703	C31H60O5	1,2-Diisotetradecanoyl-sn-glycerol
cpd27042	C6H9O7	FRUCTURONATE
cpd22560	C10H15N6O3	3'-amino-3'-deoxy adenosine
cpd24359	C10H8N2O4S2	indol-3-ylacetothiohydroxamate-O-sulfonate
cpd24357	C6H6O6	CPD-187
cpd24356	C7H3O7	CPD-185
cpd24353	C86H142O9P	CPD-171
cpd24351	C86H142O9P	CPD-166
cpd03118	C31H50N7O18P3S	(S)-Hydroxydecanoyl-CoA
cpd03119	C31H48N7O18P3S	3-Oxodecanoyl-CoA
cpd03448	C48H72O3	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
cpd03449	C48H72O4	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
cpd02279	C8H19N4O2	NG,NG-Dimethyl-L-arginine
cpd03444	C46H70O	2-Octaprenylphenol
cpd03113	C37H62N7O18P3S	(S)-3-Hydroxyhexadecanoyl-CoA
cpd03446	C47H72O2	2-Octaprenyl-6-methoxyphenol
cpd03447	C47H70O3	2-Octaprenyl-6-methoxy-1,4-benzoquinone
cpd03116	C33H54N7O18P3S	(S)-3-Hydroxydodecanoyl-CoA
cpd03441	C38H56O3	2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
cpd03114	C37H60N7O18P3S	3-Oxopalmitoyl-CoA
cpd03115	C35H58N7O18P3S	(S)-3-Hydroxytetradecanoyl-CoA
cpd12285	C16H21N6O5RS	N-Formylmethionyl-tRNA
cpd12286	C21H39N5O8R2	N3'-Acetylgentamicin C
cpd15839	C16H17N3O7	7,8-didemethyl-8-hydroxy-5-deazariboflavin
cpd12288	C6H8N3O5R2	Peptidylamidoglycolate
cpd15837	C60CoH84N13O15P	Cob(I)alamin-HBI
cpd15834	C70CoH96N18O18P	Adenosylcobalamin-HBI
cpd15835	C57H111NO16P	N-Acetyl-D-glucosaminyl archaetidylinositol
cpd15832	C9H11O7	(R)-(homo)3citrate
cpd15833	C7H7O7	S-homocitrate
cpd15830	C11H14NO7P	4-(B-D-ribofuranosyl)aminobenzene 5'-phosphate
cpd15831	C8H9O7	(R)-(homo)2citrate
cpd14610	C41H58O2	Hydroxyspirilloxanthin
cpd14613	C27H46O2	2-Methyl-6-phytylquinol
cpd14612	C42H60O2	Spirilloxanthin
cpd14615	C42H58O3	2-Ketospirilloxanthin
cpd14614	C28H48O2	2,3-Dimethyl-5-phytylquinol
cpd14617	C41H60O	3,4-Dihydroanhydrorhodovibrin
cpd14616	C42H56O4	2,2'-Diketospirilloxanthin
cpd14619	C42H64O2	3,4,3',4'-Tetrahydrospirilloxanthin
cpd14618	C41H62O2	3',4'-Dihydrorhodovibrin
cpd05846	C30H45O4	Gypsogenin
cpd15023	C27H28O17	Delphinidin 3-O-sophoroside
cpd08888	C7H13NO9P	AminoDAHP
cpd26606	C51H98O6	glycerol tripalmitate
cpd26605	C35H68O5	1,2-dipalmitoylglycerol
cpd15022	C27H29O16	Cyanidin 3-O-sophoroside
cpd26603	C21H30O3	pregn-5-ene-3,20-dione-17-ol
cpd26602	C25H39O6	active simvastatin
cpd26601	C25H38O5	inactive simvastatin
cpd26600	C15H22O3	trans-ABA alcohol
cpd20293	CS2	Carbon disulfide
cpd28273	C21H38N2O8PRS	Trans-D2-decenoyl-ACPs
cpd04804	C7H15N2O3PCl2	4-Hydroxycyclophosphamide
cpd04807	C7H14N2O4PCl2	Carboxyphosphamide
cpd28806	C15H20O3	(3R,5S)-5-ethenyl-2,2,8-trimethyl-2,3,4,5-tetrahydro-1-benzoxepine-3,7-diol
cpd04806	C7H15N2O3PCl2	Aldophosphamide
cpd08799	C31H52NO10	5-O-beta-D-Mycaminosyltylonolide
cpd08798	C31H54NO8	5-O-beta-D-Mycaminosyltylactone
cpd08795	C28H48NO7	Narbomycin
cpd08794	C20H32O5	Narbonolide
cpd08797	C23H38O5	Tylactone
cpd08796	C28H48NO8	Pikromycin
cpd08791	C25H44NO6	YC-17
cpd08790	C17H28O4	10-Deoxymethynolide
cpd08793	C25H44NO7	Methymycin
cpd08792	C25H44NO7	Neomethymycin
cpd25004	C21H20O11	kaempferol 7-O-glucoside
cpd25005	C27H29O17	quercetin 3,5-O-diglucoside
cpd25006	C27H30O15	kaempferol 3-O-rhamnoside-7-O-glucoside
cpd16304	C30H52O26	Glucomannan longer by one mannose unit
cpd25008	C27H30O17	quercetin 3,7-O-diglucoside
cpd25009	C27H30O16	kaempferol 3,7-O-diglucoside
cpd16752	R	Medium-chain length Polyhydroxyalkanoate growing.
cpd05511	C21H19O11	Cyanidin 3-O-glucoside
cpd05513	C40H56O4	Neoxanthin
cpd05515	C24H26O4	Norbixin
cpd00749	C11H12N2O3	5-HTP
cpd16753	C33H52N7O18P3S	(R)-Hydroxydodecanoyl-5-en-CoA
cpd00747	C5H8NO3	L-Hydroxyproline
cpd00744	C6H10O3	(R)-Pantolactone
cpd00745	C3H5O3	Hydracrylic acid
cpd00742	C2H3N2O3	Allophanate
cpd00743	C26H38N7O20P3S	L-Citramalyl-CoA
cpd00740	C3H9S	Trimethylsulfonium
cpd01161	C6H11O6	D-Fuconate
cpd01160	C2H8NS	Cysteamine
